HH,EndPoint,C,E,M,V,OTH,FOLLOWUP
386680,E3,,P+,,,,
386975,E3,,P+,,,,
388610,E5,,P+,,,,
389100,E1,P+,P+,,P+,,
391093,E1,,P+,,,,
392042,E1,P+,P+,,,,
394131,E2,,,,N-,,
394169,E6,,,N-,,,
395338,E1,P+,P+,,,,
395877,E5,,P+,,,,
397963,E2,N-,,,,,
398123,E5,,P+,,,,
398205,E4,,,N-,,,No Change
398796,E1,,P+,,,,
400052,E5,,P+,,,,
400171,E6,N-,,,,,
400173,E1,P+,P+,,,,
400216,E1,P+,P+,,P+,,
400817,E4,,,,N-,,
401221,E3,,P+,,,,
401943,E3,P+,P+,,,,
403093,E1,,P+,,,,
406703,E3,,P+,,,,
406977,E4,,,,,N-,
408946,E3,,P+,,,,
411026,E6,,,N-,,,
411126,E5,,P+,,,,
411386,E1,P+,P+,,,P+,
413788,E1,P+,P+,,P+,,
414036,E6,N-,,,,,
415623,E1,,P+,,,,
415973,E6,N-,,,,N-,
419119,E6,,,N-,,,More
420608,E1,P+,P+,,,,
422658,E4,,,,N-,,
423731,E4,N-,,,,,
424270,E1,,P+,,,,
424408,E5,,P+,,,,
425058,E4,,,N-,,,No Change
425314,E6,,N-,,,,
425702,E1,P+,P+,,P+,,
426769,E3,,P+,,,,
429029,E1,,P+,,,,
429512,E1,P+,P+,,,,
431133,E3,,P+,,,,
431699,E5,,P+,,,,
433084,E1,P+,P+,,P+,,
433127,E5,,P+,,,,
433692,E3,,P+,,,,
434072,E3,,P+,,,,
435248,E5,,P+,,,,
435252,E3,P+,P+,,P+,,
435296,E3,,P+,,,,
435606,E3,,P+,,,,
436323,E5,,P+,,,,
437502,E4,,,,,N-,
437957,E1,P+,P+,,,,
438406,E3,P+,P+,,,,
438545,E4,N-,,,,,
438994,E3,P+,P+,,,,
441639,E6,N-,,,,,
442472,E4,,,,N-,,
442518,E3,,P+,,,,
442657,E4,N-,,,,,
443955,E4,N-,,,,,
445800,E4,N-,,,,,
446006,E5,,P+,,,,
446131,E4,N-,,,,,
448514,E1,,P+,,,,
448629,E3,,P+,,,,
449182,E3,P+,P+,,,,
449386,E1,,P+,,,,
449842,E3,,P+,,,,
450102,E1,P+,P+,,P+,,
451113,E3,,P+,,,,
452284,E1,,P+,,,,
452557,E5,,P+,,,,
453454,E1,,P+,,,,
453960,E1,P+,P+,,,,
455130,E5,,P+,P+,,,
455325,E5,,P+,P+,,,
455533,E6,N-,,,,,
455858,E1,,P+,,,,
457958,E6,N-,,,,,
459043,E5,,P+,,,,
460213,E6,,,N-,,,
460252,E4,N-,,,,,
